class_id,ten_yr,ten_yr_count_usa,ten_yr_count_germany,ten_yr_count_france
195,1900,0,0,0
195,1890,0,0,0
195,1880,0,0,0
195,1910,0,0,0
195,1870,0,0,0
195,1920,0,0,0
195,1930,0,0,0
260,1930,3,3,0
260,1920,0,0,0
260,1890,0,0,1
260,1900,0,2,0
260,1880,0,0,0
260,1870,0,0,0
260,1910,0,0,0
390,1900,0,0,0
390,1870,0,0,0
390,1880,0,0,0
390,1930,0,2,0
390,1920,0,1,0
390,1910,0,0,0
390,1890,0,0,0
520,1920,0,0,0
520,1930,0,0,0
520,1900,0,0,0
520,1890,0,0,1
520,1870,0,0,0
520,1910,0,0,0
520,1880,0,0,0
780,1910,0,0,0
780,1880,0,0,0
780,1890,0,0,0
780,1870,0,0,0
780,1920,0,1,0
780,1930,0,0,0
780,1900,0,0,0
910,1870,0,0,0
910,1900,0,0,0
910,1920,0,0,0
910,1910,0,0,0
910,1880,0,0,0
910,1930,0,0,0
910,1890,1,0,0
975,1870,0,0,0
975,1890,0,0,0
975,1880,0,0,0
975,1930,0,1,0
975,1920,0,0,0
975,1900,0,0,0
975,1910,0,0,0
1300,1930,1,0,0
1300,1920,0,1,0
1300,1910,0,0,0
1300,1880,0,0,0
1300,1870,0,0,0
1300,1900,0,0,0
1300,1890,0,1,2
1365,1930,0,0,0
1365,1880,0,0,0
1365,1890,0,0,0
1365,1910,0,0,0
1365,1900,0,0,0
1365,1920,0,1,0
1365,1870,0,0,0
1430,1930,0,1,0
1430,1920,0,2,0
1430,1910,0,0,0
1430,1890,0,0,0
1430,1900,0,1,1
1430,1880,0,0,0
1430,1870,0,0,0
1495,1920,0,0,0
1495,1930,0,3,0
1495,1880,0,0,0
1495,1900,0,0,0
1495,1870,0,0,0
1495,1890,0,1,1
1495,1910,0,0,0
1560,1930,0,0,0
1560,1870,0,0,0
1560,1920,0,0,0
1560,1910,0,0,0
1560,1880,0,0,0
1560,1890,0,0,0
1560,1900,0,0,0
1690,1920,1,0,0
1690,1870,0,0,0
1690,1890,0,0,0
1690,1880,0,0,0
1690,1910,0,0,0
1690,1900,0,0,0
1690,1930,0,0,0
2015,1870,0,0,0
2015,1900,0,0,0
2015,1930,0,0,0
2015,1910,0,0,0
2015,1920,1,0,0
2015,1880,0,0,0
2015,1890,0,0,0
2080,1890,0,0,0
2080,1910,0,0,0
2080,1900,0,1,0
2080,1870,0,0,0
2080,1930,0,0,0
2080,1880,0,0,0
2080,1920,0,0,0
2340,1930,0,0,0
2340,1870,0,0,0
2340,1920,0,1,0
2340,1900,0,0,0
2340,1880,0,0,0
2340,1910,0,0,0
2340,1890,0,0,0
2405,1890,0,0,0
2405,1880,0,0,0
2405,1920,0,1,0
2405,1870,0,0,0
2405,1900,0,0,0
2405,1910,0,0,0
2405,1930,2,0,0
2470,1870,0,0,0
2470,1890,0,0,0
2470,1910,0,0,0
2470,1920,0,1,0
2470,1900,0,0,0
2470,1930,0,0,0
2470,1880,0,0,0
2600,1870,0,0,0
2600,1920,1,0,0
2600,1910,0,0,0
2600,1930,0,0,0
2600,1890,0,0,0
2600,1880,0,0,0
2600,1900,0,0,0
2665,1870,0,0,0
2665,1930,0,0,0
2665,1890,0,0,0
2665,1920,0,0,0
2665,1880,0,0,0
2665,1900,1,0,0
2665,1910,0,0,0
2795,1900,0,0,0
2795,1870,0,0,0
2795,1930,1,0,0
2795,1880,0,0,0
2795,1910,0,0,0
