allcoauths,distance,hasbitnet1,hasbitnet2,instit1,instit2,l_distance,totsoloauths
0,1307.5945,0,0,1,3,7.1759443,290
0,1340.1704,0,0,1,5,7.200552,290
0,968.13495,0,1,1,15,6.8753715,290
0,2331.665,0,1,1,17,7.7543378,290
0,258.7912,0,1,1,18,5.5560217,290
0,993.92902,0,0,1,19,6.9016657,290
0,772.49335,0,0,1,20,6.6496234,290
0,808.02795,0,0,1,21,6.6945968,290
0,1045.6326,0,1,1,24,6.9523773,290
0,1590.9131,0,1,1,31,7.3720632,290
0,1590.9131,0,1,1,32,7.3720632,290
0,1579.5182,0,1,1,34,7.3648753,290
0,2287.5271,0,1,1,35,7.7352266,290
0,1538.78,0,1,1,37,7.3387451,290
0,1156.5171,0,1,1,39,7.0531683,290
0,1097.6687,0,1,1,40,7.0009437,290
0,949.4425,0,0,1,47,6.855875,290
0,1482.6434,0,0,1,52,7.3015819,290
0,1289.9993,0,0,1,57,7.1623969,290
0,1093.8796,0,0,1,58,6.9974861,290
0,2884.1533,0,1,1,60,7.9669867,290
0,3089.2856,0,1,1,61,8.0356951,290
0,2895.6475,0,1,1,62,7.970964,290
0,2895.0237,0,1,1,63,7.9707484,290
0,860.88971,0,1,1,65,6.7579665,290
0,865.53021,0,1,1,66,6.7633424,290
0,968.13495,0,1,1,67,6.8753715,290
0,1289.9993,0,1,1,82,7.1623969,290
0,1482.6434,0,1,1,84,7.3015819,290
0,343.82294,0,1,1,85,5.840127,290
0,865.53021,0,1,1,86,6.7633424,290
0,933.04449,0,1,1,88,6.8384528,290
0,1739.0195,0,1,1,90,7.4610767,290
0,1750.4176,0,1,1,91,7.4676099,290
0,1289.9993,0,1,1,92,7.1623969,290
0,1225.739,0,1,1,98,7.111299,290
0,1370.5308,0,0,1,99,7.2229533,290
0,1581.512,0,1,1,104,7.3661366,290
0,798.17609,0,1,1,105,6.6823292,290
0,1164.1858,0,1,1,109,7.0597773,290
0,712.08093,0,1,1,110,6.5681915,290
0,1590.9131,0,0,1,113,7.3720632,290
0,844.43469,0,1,1,114,6.7386675,290
0,874.88837,0,1,1,116,6.7740965,290
0,958.71344,0,1,1,118,6.865592,290
0,2931.5969,0,1,1,119,7.9833026,290
0,231.25369,0,1,1,132,5.4435153,290
0,1298.4717,0,0,1,142,7.1689434,290
0,525.4118,0,0,1,145,6.2641826,290
0,525.4118,0,0,1,146,6.2641826,290
0,932.68146,0,0,1,147,6.8380637,290
0,1170.4902,0,0,1,148,7.0651779,290
0,1367.124,0,1,1,151,7.2204647,290
0,1120.9386,0,1,1,154,7.0219216,290
0,525.4118,0,1,1,155,6.2641826,290
0,1124.757,0,0,1,163,7.0253224,290
0,944.67438,0,1,1,168,6.8508401,290
0,968.13495,0,1,1,169,6.8753715,290
0,968.13495,0,1,1,170,6.8753715,290
0,231.25369,0,1,1,171,5.4435153,290
0,231.25369,0,1,1,172,5.4435153,290
0,957.56793,0,0,1,178,6.8643966,290
0,1530.5931,0,1,1,183,7.3334107,290
0,2846.2087,0,1,1,184,7.953743,290
0,897.08167,0,1,1,191,6.7991471,290
0,968.13495,0,1,1,192,6.8753715,290
0,2405.7036,0,0,1,198,7.7855978,290
0,925.80811,0,1,1,208,6.830667,290
0,493.62234,0,1,1,209,6.2017708,290
0,1017.243,0,1,1,221,6.9248514,290
0,1225.739,0,1,1,224,7.111299,290
0,803.87701,0,1,1,225,6.6894464,290
0,865.53021,0,1,1,229,6.7633424,290
0,1020.2887,0,1,1,230,6.9278407,290
0,1016.3946,0,1,1,236,6.924017,290
0,849.10834,0,1,1,241,6.7441869,290
0,3297.5923,0,0,1,256,8.1009483,290
0,640.9906,0,0,1,271,6.4630146,290
0,941.67175,0,1,1,259,6.8476567,290
0,1291.4508,0,1,1,264,7.1635213,290
0,969.92938,0,1,1,265,6.8772235,290
0,2806.427,0,1,1,267,7.9396672,290
0,1328.0984,0,1,1,268,7.1915035,290
0,612.55273,0,1,1,270,6.417635,290
0,625.38818,0,1,1,273,6.4383726,290
0,1150.2394,0,0,1,277,7.0477252,290
0,447.94214,0,0,1,278,6.1046638,290
0,866.37567,0,0,1,282,6.7643185,290
0,930.92755,0,0,1,286,6.8361816,290
0,774.97296,0,0,1,287,6.6528282,290
0,1264.021,0,1,1,291,7.1420531,290
0,2352.2034,0,1,1,293,7.7631078,290
0,930.92755,0,1,1,294,6.8361816,290
0,1530.5931,0,1,1,295,7.3334107,290
0,815.65186,0,1,1,301,6.7039876,290
0,930.92755,0,1,1,302,6.8361816,290
0,653.14551,0,1,1,303,6.4818001,290
0,319.66678,0,1,1,307,5.7672791,290
0,555.88739,0,1,1,308,6.3205657,290
0,908.93121,0,1,1,309,6.8122692,290
0,1388.5845,0,1,1,310,7.2360401,290
0,1545.1259,0,0,1,311,7.3428607,290
0,250.84418,0,1,1,313,5.5248318,290
0,2393.2983,0,1,1,314,7.7804279,290
0,987.97461,0,0,1,318,6.8956571,290
0,958.71344,0,0,1,324,6.865592,290
0,689.58459,0,0,1,326,6.5360894,290
0,3179.7515,0,1,1,344,8.064558,290
0,1278.2838,0,1,1,345,7.1532736,290
0,1888.6403,0,1,1,346,7.5436125,290
0,1289.9993,0,1,1,347,7.1623969,290
0,731.89941,0,1,1,350,6.595643,290
0,1597.7524,0,1,1,351,7.3763533,290
0,1590.9131,0,1,1,353,7.3720632,290
0,822.51239,0,1,1,355,6.7123637,290
0,819.54999,0,1,1,356,6.7087555,290
0,3262.3452,0,0,1,360,8.0902014,290
0,254.97197,0,1,1,361,5.5411534,290
0,934.08405,0,1,1,364,6.8395662,290
0,824.51764,0,1,1,365,6.7147985,290
0,663.3515,0,1,1,368,6.4973049,290
0,647.84552,0,1,1,369,6.4736524,290
0,961.57874,0,1,1,370,6.8685765,290
0,958.71344,0,1,1,371,6.865592,290
0,3294.0469,0,1,1,373,8.0998726,290
0,1022.4804,0,0,1,383,6.929987,290
0,1289.9993,0,1,1,386,7.1623969,290
0,1022.0193,0,1,1,388,6.9295359,290
0,2946.769,0,1,1,389,7.9884648,290
0,1289.9993,0,1,1,394,7.1623969,290
0,3262.3452,0,1,1,395,8.0902014,290
0,1222.3749,0,1,1,398,7.108551,290
0,634.32587,0,1,1,400,6.4525628,290
0,1426.3778,0,1,1,405,7.2628937,290
0,993.92902,0,1,1,407,6.9016657,290
0,1289.9993,0,1,1,414,7.1623969,290
0,532.07092,0,1,1,415,6.2767768,290
0,1165.7723,0,1,1,420,7.0611391,290
0,1763.8826,0,0,1,423,7.4752727,290
0,2826.4116,0,0,1,424,7.946763,290
0,1429.4246,0,0,1,426,7.265027,290
0,1365.2493,0,0,1,428,7.2190924,290
0,3170.9333,0,1,1,433,8.0617809,290
0,3175.9971,0,1,1,434,8.0633764,290
0,1562.8837,0,1,1,444,7.3542881,290
0,408.62399,0,1,1,446,6.0127954,290
0,969.91614,0,1,1,447,6.8772097,290
0,1267.7516,0,1,1,452,7.145,290
0,3193.7119,0,1,1,455,8.0689392,290
0,1125.7809,0,1,1,456,7.0262322,290
0,1365.1873,0,1,1,457,7.2190471,290
0,1417.9451,0,1,1,459,7.2569637,290
0,1237.8036,0,1,1,460,7.1210938,290
0,1289.2704,0,1,1,461,7.1618319,290
0,1147.2031,0,1,1,464,7.0450821,290
0,1291.4508,0,1,1,465,7.1635213,290
0,1164.1858,0,0,1,466,7.0597773,290
0,1164.1858,0,1,1,486,7.0597773,290
0,161.03745,0,1,1,487,5.0816369,290
0,187.69229,0,1,1,488,5.2348037,290
0,1020.9392,0,1,1,490,6.9284782,290
0,1018.5393,0,1,1,491,6.926125,290
0,1410.7106,0,1,1,492,7.2518487,290
0,987.97461,0,1,1,493,6.8956571,290
0,2846.2087,0,1,1,495,7.953743,290
0,1441.9979,0,1,1,501,7.2737851,290
0,1591.0432,0,1,1,503,7.3721452,290
0,625.38818,0,1,1,504,6.4383726,290
0,1278.2838,0,1,1,505,7.1532736,290
0,1372.6093,0,0,1,508,7.2244687,290
0,900.20392,0,0,1,511,6.8026214,290
0,7014.6255,0,0,1,513,8.8557529,290
0,1047.6455,0,0,1,515,6.9543004,290
0,1718.2522,0,0,1,516,7.4490628,290
0,3262.3452,0,0,1,517,8.0902014,290
0,851.59283,0,0,1,518,6.7471085,290
0,1718.2522,0,0,1,520,7.4490628,290
0,80.676178,0,0,1,521,4.3904433,290
0,715.56122,0,0,1,523,6.5730672,290
0,1684.947,0,0,1,526,7.4294896,290
0,1014.2055,0,0,1,528,6.9218607,290
0,1415.3149,0,1,1,530,7.2551074,290
0,835.15039,0,1,1,602,6.727612,290
0,193.64124,0,1,1,603,5.2660069,290
0,5270.5122,0,1,1,604,8.5698824,290
0,2270.1348,0,1,1,607,7.7275944,290
0,521.79492,0,1,1,608,6.2572746,290
0,3018.7334,0,1,1,612,8.0125923,290
0,3186.5276,0,1,1,613,8.0666866,290
0,2865.1362,0,1,1,614,7.960371,290
0,2820.0266,0,1,1,615,7.9445014,290
0,3198.8677,0,1,1,616,8.0705519,290
0,2895.0237,0,1,1,617,7.9707484,290
0,2826.4116,0,1,1,618,7.946763,290
0,3212.0684,0,1,1,619,8.0746708,290
0,3146.584,0,1,1,620,8.0540724,290
0,848.37445,0,1,1,621,6.7433219,290
0,798.17609,0,1,1,622,6.6823292,290
0,528.66406,0,1,1,623,6.2703533,290
0,1749.8098,0,1,1,624,7.4672623,290
0,1475.5852,0,1,1,625,7.2968102,290
0,597.88098,0,1,1,628,6.3933916,290
0,1105.6992,0,1,1,629,7.0082331,290
0,1718.5229,0,1,1,630,7.4492207,290
0,693.48083,0,1,1,631,6.5417237,290
0,307.87457,0,1,1,632,5.7296925,290
0,1441.9979,0,1,1,634,7.2737851,290
0,7014.6255,0,1,1,635,8.8557529,290
0,993.92902,0,1,1,638,6.9016657,290
0,2864.9983,0,1,1,639,7.9603229,290
0,798.17609,0,1,1,640,6.6823292,290
0,616.06342,0,1,1,641,6.4233499,290
0,884.30109,0,1,1,642,6.7847977,290
0,902.96454,0,1,1,645,6.8056831,290
0,408.76868,0,1,1,646,6.0131493,290
0,399.37125,0,1,1,649,5.9898915,290
0,1895.1271,0,1,1,650,7.5470409,290
0,980.27264,0,1,1,652,6.8878307,290
0,1487.2526,0,1,1,653,7.3046856,290
0,1170.4902,0,1,1,654,7.0651779,290
0,875.41943,0,1,1,655,6.774703,290
0,1264.021,0,1,1,656,7.1420531,290
0,272.48129,0,1,1,657,5.6075702,290
0,694.99231,0,1,1,658,6.543901,290
0,1113.5854,0,1,1,660,7.0153403,290
0,2977.4524,0,1,1,661,7.9988232,290
0,1642.0616,0,1,1,663,7.403708,290
0,1828.5266,0,1,1,664,7.5112658,290
0,377.763,0,1,1,666,5.934267,290
0,1704.0696,0,1,1,667,7.4407744,290
0,774.34058,0,1,1,669,6.6520119,290
0,990.58728,0,1,1,671,6.8982978,290
0,3273.6846,0,1,1,672,8.0936718,290
0,1164.1858,0,1,1,675,7.0597773,290
0,860.88971,0,1,1,676,6.7579665,290
0,1514.3282,0,1,1,679,7.3227272,290
0,1215.3928,0,1,1,681,7.1028228,290
0,470.51801,0,1,1,686,6.1538343,290
0,516.7724,0,1,1,687,6.2476025,290
0,2895.0237,0,1,1,688,7.9707484,290
0,278.31577,0,1,1,690,5.6287565,290
0,319.66678,0,1,1,691,5.7672791,290
0,969.91614,0,1,1,692,6.8772097,290
0,969.91614,0,1,1,693,6.8772097,290
0,1158.7118,0,1,1,694,7.0550642,290
0,815.65186,0,1,1,697,6.7039876,290
0,867.60907,0,1,1,701,6.7657413,290
0,2315.9072,0,1,1,703,7.7475567,290
0,1573.5964,0,1,1,704,7.3611188,290
0,813.60876,0,1,1,706,6.7014794,290
0,3279.9341,0,1,1,707,8.0955782,290
0,959.77203,0,1,1,711,6.8666959,290
0,1814.8501,0,1,1,712,7.503758,290
0,2329.6011,0,1,1,714,7.7534523,290
0,161.03745,0,1,1,716,5.0816369,290
0,1154.4963,0,1,1,717,7.0514193,290
0,736.93951,0,1,1,719,6.6025057,290
0,801.00012,0,0,1,722,6.6858611,290
0,595.01367,0,0,1,723,6.3885846,290
0,2330.7322,0,0,1,724,7.7539377,290
0,1366.0819,0,0,1,725,7.2197018,290
0,846.10571,0,0,1,727,6.7406445,290
0,2878.1389,0,1,1,731,7.9648991,290
0,540.1015,0,1,1,732,6.2917571,290
0,900.20392,0,1,1,733,6.8026214,290
0,1019.3544,0,1,1,738,6.9269247,290
0,1532.3707,0,1,1,739,7.3345714,290
0,597.88098,0,1,1,740,6.3933916,290
0,1400.5438,0,1,1,741,7.244616,290
0,2591.6772,0,0,3,5,7.8600607,290
0,348.3587,0,1,3,15,5.8532329,290
0,3444.4971,0,1,3,17,8.1445332,290
0,1382.229,0,1,3,18,7.2314525,290
0,2299.3057,0,0,3,19,7.7403626,290
0,1031.432,0,0,3,20,6.9387035,290
0,1448.9104,0,0,3,21,7.2785673,290
0,2322.5464,0,1,3,24,7.7504196,290
0,287.3764,0,1,3,31,5.6607928,290
0,287.3764,0,1,3,32,5.6607928,290
0,277.33859,0,1,3,34,5.6252389,290
0,3170.0425,0,1,3,35,8.0615005,290
0,232.23647,0,1,3,37,5.4477563,290
0,154.55363,0,1,3,39,5.0405412,290
0,255.08482,0,1,3,40,5.5415959,290
0,485.91455,0,0,3,47,6.1860328,290
0,434.39642,0,0,3,52,6.0739574,290
0,20.526779,0,0,3,57,3.0217304,290
0,1847.2571,0,0,3,58,7.5214572,290
0,3935.3298,0,1,3,60,8.27775,290
0,4094.7419,0,1,3,61,8.3174591,290
0,3956.1794,0,1,3,62,8.2830343,290
0,3947.8376,0,1,3,63,8.2809229,290
0,520.08728,0,1,3,65,6.2539968,290
0,660.01617,0,1,3,66,6.4922643,290
0,348.3587,0,1,3,67,5.8532329,290
0,20.526779,0,1,3,82,3.0217304,290
0,434.39642,0,1,3,84,6.0739574,290
0,1045.1499,0,1,3,85,6.9519157,290
0,660.01617,0,1,3,86,6.4922643,290
0,468.4725,0,1,3,88,6.1494775,290
0,2649.0669,0,1,3,90,7.8819628,290
0,2618.3721,0,1,3,91,7.8703079,290
0,20.526779,0,1,3,92,3.0217304,290
0,282.07285,0,1,3,98,5.6421652,290
0,1934.4932,0,0,3,99,7.5676007,290
0,343.20224,0,1,3,104,5.8383198,290
0,1156.1876,0,1,3,105,7.0528831,290
0,149.76942,0,1,3,109,5.0090971,290
0,696.47461,0,1,3,110,6.5460315,290
0,287.3764,0,0,3,113,5.6607928,290
0,658.84393,0,1,3,114,6.4904866,290
0,2123.8198,0,1,3,116,7.6609716,290
0,493.63385,0,1,3,118,6.2017941,290
0,3516.0117,0,1,3,119,8.1650829,290
0,1220.4604,0,1,3,132,7.1069837,290
0,14.374042,0,0,3,142,2.6654239,290
0,1491.6643,0,0,3,145,7.3076477,290
0,1491.6643,0,0,3,146,7.3076477,290
0,1548.2953,0,0,3,147,7.3449097,290
0,1776.6761,0,0,3,148,7.4824996,290
0,60.795586,0,1,3,151,4.1075172,290
0,1711.9143,0,1,3,154,7.4453673,290
0,1491.6643,0,1,3,155,7.3076477,290
0,189.50139,0,0,3,163,5.2443962,290
0,370.00607,0,1,3,168,5.9135194,290
0,348.3587,0,1,3,169,5.8532329,290
0,348.3587,0,1,3,170,5.8532329,290
0,1220.4604,0,1,3,171,7.1069837,290
0,1220.4604,0,1,3,172,7.1069837,290
0,477.79114,0,0,3,178,6.1691737,290
0,231.19374,0,1,3,183,5.4432559,290
0,3901.5107,0,1,3,184,8.2691193,290
0,1036.8273,0,1,3,191,6.9439206,290
0,348.3587,0,1,3,192,5.8532329,290
0,3175.9141,0,0,3,198,8.0633507,290
0,447.3811,0,1,3,208,6.1034107,290
0,1094.5399,0,1,3,209,6.9980893,290
0,1648.8475,0,1,3,221,7.4078317,290
0,282.07285,0,1,3,224,5.6421652,290
0,505.93466,0,1,3,225,6.2264075,290
0,660.01617,0,1,3,229,6.4922643,290
0,292.26172,0,1,3,230,5.6776495,290
0,1938.4459,0,1,3,236,7.5696421,290
0,630.24957,0,1,3,241,6.446116,290
0,3977.084,0,0,3,256,8.2883043,290
0,1938.6691,0,0,3,271,7.569757,290
0,478.63239,0,1,3,259,6.1709328,290
0,308.96347,0,1,3,264,5.733223,290
0,410.53632,0,1,3,265,6.0174642,290
0,3866.0022,0,1,3,267,8.2599764,290
0,26.62966,0,1,3,268,3.2820256,290
0,1908.1359,0,1,3,270,7.5538821,290
0,1900.0538,0,1,3,273,7.5496373,290
0,1563.9547,0,0,3,277,7.3549728,290
0,1090.7979,0,0,3,278,6.9946647,290
0,1798.0553,0,0,3,282,7.4944611,290
0,1185.7947,0,0,3,286,7.0781684,290
0,1409.5826,0,0,3,287,7.251049,290
0,1627.7512,0,1,3,291,7.3949547,290
0,3473.3921,0,1,3,293,8.1528873,290
0,1185.7947,0,1,3,294,7.0781684,290
0,231.19374,0,1,3,295,5.4432559,290
0,815.58148,0,1,3,301,6.7039013,290
0,1185.7947,0,1,3,302,7.0781684,290
0,1048.7792,0,1,3,303,6.9553819,290
0,1551.3491,0,1,3,307,7.3468804,290
0,936.85309,0,1,3,308,6.8425264,290
0,905.263,0,1,3,309,6.8082256,290
0,1364.9619,0,1,3,310,7.2188816,290
0,357.0376,0,0,3,311,5.877841,290
0,1557.4044,0,1,3,313,7.3507757,290
0,3030.1833,0,1,3,314,8.0163784,290
0,2225.8679,0,0,3,318,7.7079024,290
0,493.63385,0,0,3,324,6.2017941,290
0,1991.4233,0,0,3,326,7.5966048,290
0,4142.1216,0,1,3,344,8.3289633,290
0,30.311152,0,1,3,345,3.4115157,290
0,3068.3816,0,1,3,346,8.0289059,290
0,20.526779,0,1,3,347,3.0217304,290
0,702.37445,0,1,3,350,6.5544667,290
0,1948.1735,0,1,3,351,7.5746474,290
0,287.3764,0,1,3,353,5.6607928,290
0,1247.3385,0,1,3,355,7.1287675,290
0,1160.0204,0,1,3,356,7.0561929,290
0,3930.8145,0,0,3,360,8.2766018,290
0,1053.6294,0,1,3,361,6.9599962,290
0,795.84412,0,1,3,364,6.6794033,290
0,702.42139,0,1,3,365,6.5545335,290
0,780.00647,0,1,3,368,6.6593022,290
0,722.05267,0,1,3,369,6.582098,290
